Ca,Tr,Ca0,Q
3.621848514,283.8114358,5.584236489,-5.488901526
3.580454682,285.4374971,6.394722301,67.98676195
3.786390294,295.5494755,5.122281345,114.9931389
3.791983674,313.3915897,4.935658947,-37.23872941
3.861458176,307.3337608,4.369912012,-84.33873544
3.95033068,293.5127022,1.844506075,62.68601166
3.806096891,304.3252571,5.994556924,131.1384448
3.983776206,323.6707813,6.456799919,12.10953613
4.137744884,325.7775811,1.128536087,-3.090765632
3.899950592,324.1553859,6.995554433,79.8939507
3.997695532,336.9830671,3.895659582,-12.42240058
4.103062531,332.8332505,2.025900379,-89.66295695
3.871018709,319.1281236,1.015365685,108.9981164
3.750730423,335.3242025,4.981236318,-99.07436418
3.917709263,319.7177297,3.398888438,-125.247531
3.810170611,300.4693738,1.965613447,64.08559516
3.779714219,309.4438838,5.057859393,-5.839362307
3.809196319,309.1597723,2.423463538,42.28420479
3.629278204,315.4863773,7.195146579,-17.91095805
3.904245285,310.6233327,0.990927536,-122.8523743
3.856132647,292.5739251,1.080097132,127.6964511
3.589794256,312.8960506,4.285325853,93.73957213
3.656988182,327.0188565,1.69023481,-66.57081846
3.499866378,316.0750737,5.343842583,109.8806555
3.584549327,332.3168981,2.884819391,-120.9241213
3.667158949,313.1720276,6.548837686,-58.09099192
3.68871038,302.8808927,5.687576845,-94.99065907
3.932938186,289.6179201,5.364744046,94.83879065
3.980661977,303.0904154,5.590064551,-39.13680178
4.057648838,297.392268,5.58682826,-100.1480291
4.117107755,283.0581821,2.696733807,-22.33812493
3.926266764,279.758618,6.640484273,-96.18328309
4.253997161,265.9195723,6.660873532,83.04565087
4.339683191,281.5859899,7.30137008,-36.74917424
4.404331442,275.5522864,1.934578382,-72.06380567
4.224518493,266.0932951,6.29503961,129.2300516
4.409622513,288.8814525,5.391669989,-4.86193323
4.51616653,288.6135507,2.509348353,92.6910864
4.454885555,302.5736233,6.605256559,-113.2967891
4.473948105,285.3067717,2.011646297,92.15586583
4.388009052,299.5402107,6.43812728,-51.48528224
4.544160503,293.551432,2.455062178,-19.21805098
4.445209472,289.9340263,4.276125502,-112.3425604
4.359200898,273.6382226,6.358384971,9.648575869
4.419324778,276.5953326,5.924774705,-74.76770999
4.546560368,266.9512842,7.257053458,69.72981317
4.748658794,278.1910966,2.901657051,124.591023
4.561938789,298.5131789,5.403582453,94.60030909
4.697912325,313.0728781,0.818481141,-123.4329151
4.445599974,293.9228191,5.699160915,-54.25377297
4.556536874,286.2440248,4.117490561,-95.48266773
4.596224668,272.1636477,7.345666868,0.764179971
4.554859007,273.9742101,6.303007549,-118.3228438
4.707805005,256.9446147,3.852408166,-121.5890429
